id,name,lat,lon,tambon
"KK01","แม่น้ำกก (ชายแดนพม่า แม่อาย)",20.0902747,99.3534244,"แม่อาย"
"KK02","แม่น้ำกก (สะพานแม่นาวาง แม่อาย)",20.0477910,99.4049339,"แม่อาย"
"KK03","แม่น้ำกก (สะพานแม่สลัก แม่อาย)",20.0396223,99.4767091,"แม่อาย"
"KK04","แม่น้ำกก (บ้านจะเด้อ เมืองเชียงราย)",19.9741234,99.6569426,"เวียง"
"KK05","แม่น้ำกก (สะพานแม่ยาว)",19.9583819,99.6990780,"แม่ยาว"
"KK06","แม่น้ำกก (บ้านโป่งนาคำ)",19.9476028,99.7303040,"รอบเวียง"
"KK07","แม่น้ำกก (สะพานดอยฮาง)",19.9122599,99.7817370,"ดอยฮาง"
"KK08","แม่น้ำกก (ศาลากลางเชียงราย)",19.9226190,99.8185201,"เวียง"
"KK09","แม่น้ำกก (เฉลิมพระเกียรติ 1)",19.9247359,99.8624651,"เวียง"
"KK10","แม่น้ำกก (โยนกนาคนคร)",19.9257840,99.8970083,"เวียง"
"KK11","แม่น้ำกก (อ.แม่จัน)",19.96052,99.94629,"แม่จัน"
"KK12","แม่น้ำกก (สะพาน กรป. 92)",20.0336883,99.9637903,"ท่าข้าวเปลือก"
"KK13","แม่น้ำกก (ต.ท่าข้าวเปลือก)",20.1278600,100.0310000,"ท่าข้าวเปลือก"
"KK14","แม่น้ำกก (อ.แม่จัน)",20.177379,100.069326,"แม่จัน"
"KK15","แม่น้ำกก (ต.บ้านแซว)",20.2271399,100.1291002,"บ้านแซว"
"FA01","แม่น้ำฝาง (อ.แม่อาย)",20.0209934,99.3538415,"แม่อาย"
"KO01","แม่น้ำกรณ์ (ต.ท่าสาย)",19.8804804,99.8305029,"ท่าสาย"
"LA01","แม่น้ำลาว (ต.เวียงชัย)",19.8790354,99.8892302,"เวียงชัย"
"SU01","แม่น้ำสรวย (ต.แม่สรวย)",19.6569795,99.5440661,"แม่สรวย"
"SA01","แม่น้ำสาย (บ้านป่าซางงาม)",20.443851,99.874161,"โป่งผา"
"SA02","แม่น้ำสาย (มิตรภาพ 2)",20.4485278,99.9046667,"แม่สาย"
"SA03","แม่น้ำสาย (บ้านหัวฝาย)",20.460637,99.951040,"แม่สาย"
"RU01","แม่น้ำรวก (อ.แม่สาย 1)",20.4537562,99.9678833,"แม่สาย"
"RU02","แม่น้ำรวก (อ.แม่สาย 2)",20.3556721,100.0812816,"ศรีดอนมูล"
"NK01","แม่น้ำโขง (เชียงแสน)",20.3449038,100.0846274,"เวียง"
"NK02","แม่น้ำโขง (ต.เวียง)",20.2781699,100.0886618,"เวียง"
"NK03","แม่น้ำโขง (บ้านแซว)",20.2558231,100.1787482,"บ้านแซว"
